count,create_date,location,weatherstation,temp,precip,canonical_location
3,2012-08-24,Waterloo,KALO,78.507692307699998,0.0,Waterloo
187,2012-08-24,San Francisco,KSFO,59.9708333333,0.0,San Francisco
4,2012-08-24,Chicago IL,KMDW,82.504166666700002,0.0,Chicago
7,2012-08-24,Minneapolis,KMIC,78.359090909100004,0.0,Minneapolis
10,2012-08-24,Vancouver,CWHC,61.0,0.0,Vancouver
13,2012-08-24,Philadelphia,KPHL,79.4375,0.0,Philadelphia
4,2012-08-24,Salt Lake City,KSLC,78.683333333299998,0.0,Salt Lake City
2,2012-08-24,Seattle WA,KBFI,60.875,0.0,Seattle
18,2012-08-24,San Diego,KSAN,69.7076923077,0.0,San Diego
2,2012-08-24,Oakland CA,KOAK,59.538461538500002,0.0,Berkeley
90,2012-08-21,New York,KNYC,73.195999999999998,0.0,New York
7,2012-08-21,Santa Barbara,KSBA,66.454166666700004,0.0,Santa Barbara
9,2012-08-21,Kansas City,KMKC,80.737499999999997,0.0,Kansas City
220,2012-08-21,San Francisco,KSFO,58.703846153800001,0.0,San Francisco
36,2012-08-21,Seattle,KBFI,64.579166666700004,0.0,Seattle
52,2012-08-21,NYC,KNYC,73.195999999999998,0.0,New York
13,2012-08-21,Montr\\xc3\\xa9al,CWTA,67.535714285699996,0.0,Montreal
18,2012-08-21,Washington DC,KDCA,73.9147058824,1.5800000000000001,Washington DC
9,2012-08-21,nyc,KNYC,73.195999999999998,0.0,New York
45,2012-08-21,New York City,KNYC,73.195999999999998,0.0,New York
6,2012-08-21,Portland,KPDX,67.095833333300007,0.0,Portland
12,2012-08-21,SF,KSFO,58.703846153800001,0.0,San Francisco
12,2012-08-21,San Diego,KSAN,71.289285714299993,0.0,San Diego
13,2012-08-21,Atlanta,KFTY,73.825000000000003,0.0,Atlanta
6,2012-08-21,Baltimore,KBWI,71.141666666700004,0.0,Baltimore
44,2012-08-21,Chicago,KMDW,68.991666666699999,0.0,Chicago
13,2012-08-21,Vancouver,CWHC,63.5,0.0,Vancouver
4,2012-08-21,Chicago IL,KMDW,68.991666666699999,0.0,Chicago
59,2012-08-21,Los Angeles,KCQT,74.244827586200003,0.0,Los Angeles
4,2012-08-21,Miami,KMIA,83.285714285699996,1.4099999999999999,Miami
4,2012-08-21,Washington,KDCA,73.9147058824,1.5800000000000001,Washington DC
8,2012-08-21,Denver,KAPA,71.716666666699993,0.0,Denver
11,2012-08-21,SF Bay Area,KSFO,58.703846153800001,0.0,San Francisco
9,2012-05-14,SF Bay Area,KSFO,59.145833333299997,0.0,San Francisco
9,2012-05-14,NY,KNYC,66.412000000000006,0.0,New York
1,2012-05-14,San Antonio,KSSF,73.191666666700002,0.050000000000000003,San Antonio
1,2012-05-14,Santa Monica,KSMO,61.166666666700003,0.01,Santa Monica
17,2012-05-14,Vancouver,CWHC,58.5,0.0,Vancouver
4,2012-05-14,St. Petersburg,KSPG,79.169230769199999,0.0,St. Petersburg
5,2012-05-14,Denver,KAPA,56.424999999999997,0.0,Denver
11,2012-05-14,Brooklyn,KNYC,66.412000000000006,0.0,New York
4,2012-05-14,Indianapolis,KIND,65.403333333299997,0.0,Indianapolis
6,2012-05-13,Brooklyn,KNYC,71.160869565200002,0.0,New York
24,2012-05-13,Seattle,KBFI,63.545833333300003,0.0,Seattle
8,2012-05-13,Vancouver,CWHC,58.25,0.0,Vancouver
3,2012-05-13,Mountain View,KNUQ,59.878787878799997,0.0,Mountain View
4,2012-05-10,Indianapolis,KIND,56.350000000000001,0.0,Indianapolis
55,2012-05-10,Chicago,KMDW,55.4708333333,0.0,Chicago
8,2012-05-10,Mountain View,KNUQ,65.313043478300003,0.0,Mountain View
16,2012-05-10,Washington DC,KDCA,61.3125,0.0,Washington DC
1,2012-05-10,San Antonio,KSSF,70.183333333299998,7.3300000000000001,San Antonio
3,2012-05-10,Redmond,KBFI,49.25,0.0,Seattle
1,2012-05-10,Oakland CA,KOAK,58.7740740741,0.0,Berkeley
12,2012-05-10,Atlanta,KFTY,62.691666666700002,0.0,Atlanta
1,2012-05-13,Oklahoma City,KOKC,65.504166666700002,0.0,Oklahoma City
1,2012-05-13,Kansas City,KMKC,66.620833333299998,0.0,Kansas City
23,2012-07-17,Philadelphia,KPHL,87.229166666699996,0.0,Philadelphia
28,2012-07-17,Boston,KBOS,87.635000000000005,0.0,Boston
197,2012-07-17,San Francisco,KSFO,61.82,0.0,San Francisco
42,2012-07-17,NYC,KNYC,85.379166666700002,0.0,New York
5,2012-07-17,Austin,KATT,80.215625000000003,0.0,Austin
4,2012-07-17,Boston MA,KBOS,87.635000000000005,0.0,Boston
41,2012-07-17,Seattle,KBFI,66.695833333300001,0.0,Seattle
3,2012-07-17,Birmingham,KBHM,81.736000000000004,0.0,Birmingham
43,2012-07-17,Los Angeles,KCQT,67.473076923099995,0.0,Los Angeles
98,2012-07-17,New York,KNYC,85.379166666700002,0.0,New York
53,2012-07-17,New York City,KNYC,85.379166666700002,0.0,New York
8,2012-07-17,Berkeley,KOAK,59.251282051300002,0.070000000000000007,Berkeley
6,2012-07-17,Baltimore,KBWI,88.037499999999994,0.0,Baltimore
5,2012-07-17,Sunnyvale,KNUQ,64.288461538500002,0.0,Mountain View
27,2012-07-17,Vancouver,CWHC,67.0,0.0,Vancouver
7,2012-07-17,nyc,KNYC,85.379166666700002,0.0,New York
7,2012-07-17,Brooklyn,KNYC,85.379166666700002,0.0,New York
5,2012-07-17,Waterloo,KALO,85.833333333300004,0.0,Waterloo
4,2012-07-17,DC,KDCA,89.395833333300004,0.0,Washington DC
6,2012-07-17,St. Petersburg,KSPG,78.566071428599997,4.5800000000000001,St. Petersburg
14,2012-07-17,Washington DC,KDCA,89.395833333300004,0.0,Washington DC
48,2012-07-17,Chicago,KMDW,89.924999999999997,0.0,Chicago
36,2012-07-17,Montreal,CWTA,74.357142857100001,1.4299999999999999,Montreal
4,2012-07-17,Miami,KMIA,77.233333333299996,0.71999999999999997,Miami
3,2012-07-17,Colorado Springs,KCOS,74.989285714299996,0.0,Colorado Springs
7,2012-07-17,Portland,KPDX,71.119230769200001,0.0,Portland
10,2012-07-17,Montr\\xc3\\xa9al,CWTA,74.357142857100001,1.4299999999999999,Montreal
3,2012-07-17,Oklahoma City,KOKC,85.587500000000006,0.0,Oklahoma City
7,2012-07-17,Dallas,KDAL,86.804166666699999,0.0,Dallas
12,2012-07-17,NY,KNYC,85.379166666700002,0.0,New York
5,2012-07-17,Denver,KAPA,72.724999999999994,0.0,Denver
25,2012-07-18,Montreal,CWTA,70.659259259300001,0.0,Montreal
6,2012-07-18,Portland,KPDX,66.060714285700001,0.0,Portland
3,2012-07-18,Miami,KMIA,82.120833333299998,0.0,Miami
5,2012-07-18,Sunnyvale,KNUQ,64.159999999999997,0.0,Mountain View
6,2012-07-18,Brooklyn,KNYC,78.978048780500004,4.2699999999999996,New York
1,2012-07-18,Oakland CA,KOAK,60.884,0.0,Berkeley
3,2012-07-18,Mountain View,KNUQ,64.159999999999997,0.0,Mountain View
2,2012-07-18,Santa Barbara,KSBA,63.456000000000003,0.0,Santa Barbara
3,2012-07-18,Portland OR,KPDX,66.060714285700001,0.0,Portland
4,2012-07-18,Boston MA,KBOS,76.797368421100003,6.8099999999999996,Boston
3,2012-07-18,Salt Lake City,KSLC,80.870833333299998,0.0,Salt Lake City
